Time,SNR,Speed,RSSI,PDR,Relative_Speed,Scenario
0.1,22.35,25.45,-48.38,0.999999894673147,25.3139808958944,2
0.2,21.62,25.44,-49.14,0.999999465184673,25.4210600530362,2
0.3,20.85,25.46,-49.92,0.999997415196243,25.3272750346116,2
0.4,20.07,25.5,-50.69,0.999988834565626,25.2569329581057,2
0.5,19.3,25.46,-51.46,0.999958015661191,25.038899667009,2
0.6,18.53,25.55,-52.2,0.999858443161988,25.3481683868903,2
0.7,17.79,25.48,-52.93,0.999585737712799,25.1941528794137,2
0.8,17.06,25.54,-53.62,0.99890054571446,25.1223121744135,2
0.9,16.37,25.44,-54.31,0.997421527375505,24.9422064047181,2
1,15.69,25.49,-54.98,0.994386385031052,24.9670670304164,2
1.1,15.02,25.51,-55.62,0.98858048743245,24.8284489528816,2
1.2,14.37,25.53,-56.24,0.978380934192439,24.9588284241965,2
1.3,13.75,25.46,-56.84,0.961995734420964,24.7510313034462,2
1.4,13.15,25.5,-57.42,0.937005912146359,24.7932914946634,2
1.5,12.57,25.49,-57.98,0.901133505879313,24.7586660236466,2
1.6,12.01,25.56,-58.53,0.852581907732699,24.436139205497,2
1.7,11.47,25.48,-59,0.790570729406315,24.5481149948786,2
1.8,10.99,25.48,-59.45,0.722077907590096,24.4545431637087,2
1.9,10.55,25.48,-59.88,0.648679060078798,24.2721709594494,2
2,10.12,25.45,-60.27,0.568692586136855,24.602428609614,2
2.1,9.72,25.5,-60.59,0.489269509069941,24.3438294896088,2
2.2,9.4,25.48,-60.83,0.42423494355617,24.159610598803,2
2.3,9.16,25.45,-60.95,0.375721603740946,24.1998398122882,2
2.4,9.04,25.55,-61.03,0.351823595381183,23.943423496459,2
2.5,8.97,25.44,-61.08,0.338047205698509,24.3763615661144,2
2.6,8.91,25.48,-61.15,0.326353173535629,24.2537773655957,2
2.7,8.84,25.54,-61.22,0.312860042534048,24.2101122228504,2
2.8,8.77,25.52,-61.28,0.299545818264705,24.422373188268,2
2.9,8.71,25.54,-61.35,0.288289592004419,24.4407740715856,2
3,8.64,25.52,-61.43,0.275354648143579,23.7917887290203,2
3.1,8.56,25.51,-61.51,0.260852542795947,24.220144173322,2
3.2,8.48,25.49,-61.59,0.24667269899306,23.803207945106,2
3.3,8.41,25.51,-61.64,0.234547434922617,23.777147011466,2
3.4,8.35,25.44,-61.7,0.224375221580368,23.5648850983901,2
3.5,8.29,25.55,-61.74,0.214415727181168,24.3991220764753,2
3.6,8.25,25.53,-61.77,0.207898120002846,23.413370274499,2
3.7,8.22,25.54,-61.8,0.203075553993895,23.7340079771985,2
3.8,8.2,25.48,-61.81,0.199892255829627,23.7389427084711,2
3.9,8.18,25.53,-61.81,0.196734646783959,24.0043449605719,2
4,8.18,25.5,-61.81,0.196734646783959,23.6567729148837,2
4.1,8.18,25.53,-61.81,0.196734646783959,23.581360770151,2
4.2,8.18,25.54,-61.82,0.196734646783959,23.7317071283257,2
4.3,8.17,25.55,-61.82,0.195165551677485,23.3405752479025,2
4.4,8.17,25.52,-61.83,0.195165551677485,23.1817209713476,2
4.5,8.16,25.54,-61.85,0.193602969102521,23.1358097288493,2
4.6,8.15,25.48,-61.87,0.192046928154666,22.8805162345438,2
